# file...... csv_output/pv_triplex_meter_voltage.csv
# date...... Sun Jun 17 19:42:25 2018
# user...... kapil
# host...... (null)
# group..... groupid=House_Meter
# property.. measured_voltage_A
# limit..... 0
# interval.. 60
# timestamp,meter_PV_N6A_DH1,meter_PV_N6A_DH2,meter_PV_N6A_DH3,meter_PV_N6A_DH4,meter_PV_N6A_DH5,meter_PV_N6A_DH6,meter_PV_N6A_DH7,meter_PV_N6A_DH8,meter_PV_N6A_DH9,meter_PV_N6A_DH10,meter_PV_N6A_DH11,meter_PV_N6A_DH12
2014-06-22 00:00:00 PST,243.187370,243.163068,242.195986,242.012799,241.340877,241.340842,240.630815,240.463930,239.942390,240.099735,239.851553,240.015247
2014-06-22 00:01:00 PST,243.187370,243.163068,242.195986,242.012799,241.340877,241.340842,240.630815,240.463930,239.942390,240.099735,239.851553,240.015247
2014-06-22 00:02:00 PST,243.069696,243.045382,241.932734,241.787052,241.031375,240.946037,240.291386,240.078414,239.601982,239.759551,239.511016,239.674942
2014-06-22 00:03:00 PST,243.116075,243.141681,241.939438,241.844415,241.131502,241.046199,240.434219,240.221374,239.854376,239.944962,239.696619,239.860419
2014-06-22 00:04:00 PST,243.261980,243.250993,242.126049,242.031100,241.395047,241.309838,240.823413,240.561975,240.280291,240.362122,240.082939,240.246475
2014-06-22 00:05:00 PST,243.294776,243.283790,242.188951,242.094027,241.487930,241.402753,240.946187,240.720406,240.459452,240.454795,240.213292,240.376739
2014-06-22 00:06:00 PST,243.259958,243.299884,242.041366,242.011325,241.346631,241.261404,240.762310,240.536357,240.166313,240.228382,239.986650,240.150252
2014-06-22 00:07:00 PST,243.298936,243.338856,242.116160,242.086129,241.457053,241.371865,240.908269,240.738234,240.312635,240.374666,240.133082,240.296584
2014-06-22 00:08:00 PST,243.302537,243.342456,242.123246,242.144356,241.435365,241.350169,240.857850,240.628664,240.240178,240.332801,240.163379,240.282631
2014-06-22 00:09:00 PST,243.208306,243.248241,241.897286,241.963410,241.196470,241.062576,240.591843,240.362403,239.905118,240.039741,239.870112,239.989510
2014-06-22 00:10:00 PST,243.272134,243.312058,242.065898,242.086086,241.394947,241.214962,240.744530,240.515236,240.058243,240.192780,240.023260,240.142581
2014-06-22 00:11:00 PST,243.325758,243.324579,242.064163,242.084352,241.325711,241.198976,240.747905,240.518614,240.111588,240.215506,240.046002,240.165312
2014-06-22 00:12:00 PST,243.281883,243.231712,242.010300,242.030493,241.217687,241.135214,240.649114,240.472949,240.157489,240.221530,240.120517,240.197825
2014-06-22 00:13:00 PST,243.285639,243.235469,242.017474,242.037666,241.192446,241.145793,240.739935,240.509522,240.139558,240.282768,240.148788,240.226087
2014-06-22 00:14:00 PST,243.252308,243.202131,241.905081,241.973551,241.128104,241.081438,240.675471,240.444995,240.074932,240.218181,240.084165,240.161484
2014-06-22 00:15:00 PST,243.263120,243.212945,241.941531,241.994346,241.148972,241.102311,240.696379,240.465923,240.095892,240.239129,240.105124,240.182437
2014-06-22 00:16:00 PST,243.296430,243.246262,242.005634,242.106693,241.213289,241.166639,240.760817,240.530424,240.160492,240.303690,240.169722,240.247013
2014-06-22 00:17:00 PST,243.367419,243.317266,242.179765,242.243102,241.391186,241.390113,240.951134,240.700260,240.376384,240.519453,240.450332,240.487861
2014-06-22 00:18:00 PST,243.279967,243.229796,242.012011,242.075392,241.143423,241.088125,240.657991,240.465985,240.000357,240.143651,239.939855,239.952649
2014-06-22 00:19:00 PST,243.203828,243.199563,241.939877,242.045817,241.141366,241.086068,240.683433,240.491448,240.053317,240.239994,239.992828,240.005620
2014-06-22 00:20:00 PST,243.203828,243.199563,241.939877,242.045817,241.141366,241.086068,240.683433,240.491448,240.053317,240.239994,239.992828,240.005620
2014-06-22 00:21:00 PST,243.230690,243.226425,241.991553,242.136371,241.193215,241.137929,240.735381,240.543438,240.105402,240.292039,240.044926,240.057715
2014-06-22 00:22:00 PST,243.172756,243.168491,241.880519,242.006672,241.041118,240.985796,240.542490,240.350392,239.860314,240.058395,239.725176,239.790619
2014-06-22 00:23:00 PST,243.207439,243.203174,241.946946,242.073064,241.139150,241.083851,240.671947,240.479952,240.021298,240.268524,239.886251,239.951650
2014-06-22 00:24:00 PST,243.257299,243.292221,242.018204,242.144285,241.231665,241.209572,240.764644,240.572723,240.114247,240.361377,239.979252,240.044626
2014-06-22 00:25:00 PST,243.280614,243.364499,242.032429,242.158503,241.236777,241.214684,240.760647,240.540898,240.164899,240.365821,239.962995,239.995578
2014-06-22 00:26:00 PST,243.311256,243.395130,242.091176,242.217219,241.323508,241.301423,240.875211,240.655566,240.307350,240.508153,240.133112,240.209292
